"","word","polarity","n"
"275","따르다",NA,205
"276","범수야",NA,203
"277","이르다",NA,203
"278","국민청원",NA,202
"279","보합",NA,202
"280","유영두",NA,202
"281","거래",NA,201
"282","단기",NA,201
"283","양봉",NA,201
"284","금요일",NA,200
"285","풀다",NA,200
"286","개미들아",NA,199
"287","최소",NA,199
"288","기대",1,198
"289","국민",NA,196
"290","대하다",NA,196
"291","지키다",NA,196
"292","현대차",NA,196
"293","날다",NA,195
"294","카카오톡",NA,195
"295","헐다",NA,195
"296","우리나라",NA,193
"297","빠지",NA,192
"298","신용",NA,192
"299","이젠",NA,191
"300","블록딜",NA,190
"301","지분",NA,190
"302","선물",1,189
"303","입성",NA,189
"304","여러분",NA,187
"305","윤석열",NA,187
"306","아래",NA,185
"307","부터",NA,184
"308","힘내다",1,183
"309","연말",NA,182
"310","완전",-1,181
"311","어디",-1,180
"312","잘하다",2,180
"313","터지다",NA,180
"314","느끼다",NA,178
"315","떨다",-1,177
"316","외국인",NA,176
"317","배당금",NA,175
"318","언택트",0,175
"319","주식시장",NA,175
"320","청원",NA,174
"321","죽이다",-1,173
"322","발표",NA,172
"323","뱅크",NA,171
"324","수급",NA,170
"325","잃다",-1,170
"326","개잡주",-1,169
"327","금지",-1,168
"328","영업이익",1,168
"329","범수",NA,167
"330","영두",NA,167
"331","추가",NA,167
"332","고평가",-1,165
"333","고평가",1,165
"334","네이버가",NA,165
"335","막판",NA,165
"336","중국",NA,165
"337","기사",NA,163
"338","공포",-2,162
"339","올랐",1,161
"340","놀다",1,160
"341","밀다",NA,160
"342","지나다",NA,160
"343","어쩌다",NA,159
"344","천억",NA,159
"345","하방",NA,159
"346","가지",NA,158
"347","묻다",NA,158
"348","백신",NA,157
"349","송영길",NA,157
"350","열다",NA,156
"351","얘기",NA,155
"352","빠르다",1,154
"353","사업",NA,154
"354","형님",NA,154
"355","페이",NA,153
"356","마이너스",-2,152
"357","마이너스",-1,152
"358","최대",1,152
"359","관련",NA,151
"360","한달",NA,151
"361","게시판",NA,150
"362","방송",NA,150
"363","안하다",NA,149
"364","자다",NA,149
"365","테슬라",NA,149
"366","한국",NA,149
"367","참다",NA,148
"368","끝났",NA,147
"369","높다",1,147
"370","이정",NA,146
"371","적정주가",NA,146
"372","이것",NA,145
"373","금일",NA,144
"374","동학개미",0,144
"375","먹튀",-1,144
"376","게임즈",NA,143
"377","늦다",-1,143
"378","마감",-1,143
"379","실적발표",NA,143
"380","매수세",1,142
"381","줍다",1,142
"382","갈다",NA,141
"383","그동안",NA,141
"384","안하",NA,141
"385","길다",NA,140
"386","시대",NA,140
"387","한마디",NA,140
"388","버리다",-2,139
"389","종토방",NA,139
"390","까까",NA,138
"391","모으다",NA,138
"392","매출",1,137
"393","기관들",NA,136
"394","망해",NA,136
"395","주린이들",NA,136
"396","폐지",NA,136
"397","호구",-1,136
"398","당하다",-1,135
"399","무너지다",-2,135
"400","무너지다",-1,135
"401","장난",NA,135
"402","정리",NA,135
"403","증권사",NA,135
"404","물적분할",-1,134
"405","쉬다",NA,133
"406","신나다",2,133
"407","양아치",NA,133
"408","가겠",NA,132
"409","구간",NA,132
"410","몰다",NA,132
"411","미쳤",NA,132
"412","설거지",NA,132
"413","수혜",1,132
"414","무섭",NA,131
"415","눈물",-1,130
"416","심하다",-2,129
"417","흑우",NA,129
"418","국민주",1,128
"419","물타기",NA,128
"420","니들",NA,127
"421","대다",NA,127
"422","싫다",-2,127
"423","팔았",-1,127
"424","고민",-1,126
"425","네이버랑",NA,126
"426","매입",1,126
