"","word","polarity","n"
"31672","그만오르고",NA,1
"31673","그만올라야",NA,1
"31674","그만올리라",NA,1
"31675","그만은학생박수쳐줬더",NA,1
"31676","그만잃으세",NA,1
"31677","그만잡고",NA,1
"31678","그만조",NA,1
"31679","그만좀물어보세",NA,1
"31680","그만좀사",NA,1
"31681","그만좀오르라고",NA,1
"31682","그만좀올라",NA,1
"31683","그만좀올라라",NA,1
"31684","그만좀징징",NA,1
"31685","그만좀하세",NA,1
"31686","그만좀해",NA,1
"31687","그만좀해씨",NA,1
"31688","그만쫄고",NA,1
"31689","그만쫄고사라",NA,1
"31690","그만쫌내려",NA,1
"31691","그만찍고",NA,1
"31692","그만쳐다보고",NA,1
"31693","그만쳐빨아먹",NA,1
"31694","그만쳐해",NA,1
"31695","그만치",NA,1
"31696","그만타",NA,1
"31697","그만털어",NA,1
"31698","그만파",NA,1
"31699","그만파는거같은",NA,1
"31700","그만팔고",NA,1
"31701","그만팔아봐라",NA,1
"31702","그만팔아쥬세",NA,1
"31703","그만하라고했",NA,1
"31704","그만하시",NA,1
"31705","그만해라진",NA,1
"31706","그만해야겄",NA,1
"31707","그만해에",NA,1
"31708","그만해에에에에",NA,1
"31709","그만혀라",NA,1
"31710","그만흘",NA,1
"31711","그많던",NA,1
"31712","그많던아갈충",NA,1
"31713","그많던찬티들",NA,1
"31714","그많은것중에",NA,1
"31715","그많은돈이",NA,1
"31716","그말여",NA,1
"31717","그말은",NA,1
"31718","그말이",NA,1
"31719","그말하",NA,1
"31720","그모양인거",NA,1
"31721","그무능한기업카카오",NA,1
"31722","그무엇으로도",NA,1
"31723","그물",NA,1
"31724","그물량을",NA,1
"31725","그물에서나올려안간힘쓰",NA,1
"31726","그물쳐놓",NA,1
"31727","그민좀",NA,1
"31728","그바디랭귀지는",NA,1
"31729","그밥에",NA,1
"31730","그배우",NA,1
"31731","그버릇",NA,1
"31732","그병원",NA,1
"31733","그보다못하",NA,1
"31734","그보세요",NA,1
"31735","그분들이",NA,1
"31736","그분을보호하",NA,1
"31737","그분이나와주시",NA,1
"31738","그사람도",NA,1
"31739","그사람이",NA,1
"31740","그사이를",NA,1
"31741","그사회에",NA,1
"31742","그새또",NA,1
"31743","그새못참고",NA,1
"31744","그새올랐네",NA,1
"31745","그생각",NA,1
"31746","그세대는그렇게불러",NA,1
"31747","그수량그대",NA,1
"31748","그수밖엔",NA,1
"31749","그수하",NA,1
"31750","그순간",NA,1
"31751","그시간에",NA,1
"31752","그시대를",NA,1
"31753","그싸움은",NA,1
"31754","그악재",NA,1
"31755","그액",NA,1
"31756","그얘기가",NA,1
"31757","그얘긴하겠",NA,1
"31758","그어어",NA,1
"31759","그얼굴에",NA,1
"31760","그에따른",NA,1
"31761","그여배우",NA,1
"31762","그여배우는",NA,1
"31763","그여배우를",NA,1
"31764","그여의사",NA,1
"31765","그여자들도",NA,1
"31766","그와중",NA,1
"31767","그와중에",NA,1
"31768","그와중에도",NA,1
"31769","그외다수",NA,1
"31770","그외엔없",NA,1
"31771","그외추종자",NA,1
"31772","그운명에",NA,1
"31773","그유동성",NA,1
"31774","그유명",NA,1
"31775","그이상양전환하면내일은높은상승기대",NA,1
"31776","그이상은",NA,1
"31777","그이상이",NA,1
"31778","그이유는아닌",NA,1
"31779","그이하로살수있것",NA,1
"31780","그이후로도",NA,1
"31781","그일가",NA,1
"31782","그입닥처라",NA,1
"31783","그자리가",NA,1
"31784","그자리로",NA,1
"31785","그자리서",NA,1
"31786","그자리에",NA,1
"31787","그저께사서",NA,1
"31788","그저저께",NA,1
"31789","그젊은",NA,1
"31790","그정도가",NA,1
"31791","그정도는",NA,1
"31792","그정도만",NA,1
"31793","그정도했으면",NA,1
"31794","그종목들",NA,1
"31795","그주",NA,1
"31796","그주식만큼",NA,1
"31797","그주식은",NA,1
"31798","그지같네여",NA,1
"31799","그지같은구간에서",NA,1
"31800","그지깽깽이들",NA,1
"31801","그지들이",NA,1
"31802","그지바퀴벌레들",NA,1
"31803","그지새키",NA,1
"31804","그지세키",NA,1
"31805","그지쉑",NA,1
"31806","그집",NA,1
"31807","그집단에서",NA,1
"31808","그짓거",NA,1
"31809","그짓부렁이때문",NA,1
"31810","그짝꺼",NA,1
"31811","그쯤",NA,1
"31812","그치만",NA,1
"31813","그치이",NA,1
"31814","그카",NA,1
"31815","그캐가꼬",NA,1
"31816","그케많은줄",NA,1
"31817","그하나",NA,1
"31818","그학문",NA,1
"31819","그행",NA,1
"31820","그회사",NA,1
"31821","극단",-1,1
"31822","극단적선택",NA,1
"31823","극단적이익추",NA,1
"31824","극단주의",NA,1
"31825","극렬",NA,1
"31826","극렬개인주의",NA,1
"31827","극민의힘",NA,1
"31828","극보수",NA,1
"31829","극복다",NA,1
"31830","극복한거",NA,1
"31831","극복합",NA,1
"31832","극복해",NA,1
"31833","극비",NA,1
"31834","극비공",NA,1
"31835","극성인거보니",NA,1
"31836","극소수",NA,1
"31837","극에달했구만",NA,1
"31838","극우불법집",NA,1
"31839","극우쓰레기들",NA,1
"31840","극을달하더",NA,1
"31841","극저평가주",NA,1
"31842","극적",NA,1
"31843","극적회담합",NA,1
"31844","극찬티주",NA,1
"31845","극초",NA,1
"31846","극치",NA,1
"31847","극한깨",NA,1
"31848","극혐이",NA,1
"31849","극혐이네",NA,1
"31850","극혐인",NA,1
"31851","근간",NA,1
"31852","근검",NA,1
"31853","근데개미들한테물량다떠넘기고개수작부리는것같은",NA,1
"31854","근데그리안올를거같은데",NA,1
"31855","근데말이다",NA,1
"31856","근데뭔가문제",NA,1
"31857","근데솔직",NA,1
"31858","근데실적발표도아니",NA,1
"31859","근데이거",NA,1
"31860","근데이거거품너무심하지않음",NA,1
"31861","근데이정도면",NA,1
"31862","근데지금",NA,1
"31863","근데진짜",NA,1
"31864","근데찬티심정도이해",NA,1
"31865","근데호재",NA,1
"31866","근로자들천지인",NA,1
"31867","근무시간",NA,1
"31868","근무증",NA,1
"31869","근무후",NA,1
"31870","근복공단",NA,1
"31871","근본기업많은데",NA,1
"31872","근본있",NA,1
"31873","근본주",NA,1
"31874","근새프하고",NA,1
"31875","근성",NA,1
"31876","근시안",NA,1
"31877","근심",-1,1
"31878","근원",NA,1
"31879","근원전략",NA,1
"31880","근육",NA,1
"31881","근육질",NA,1
"31882","근절",NA,1
"31883","근접시",NA,1
"31884","근조",NA,1
"31885","근질거려",NA,1
"31886","근질거리",NA,1
"31887","근질하냐",NA,1
"31888","근처간",NA,1
"31889","근처갔다가",NA,1
"31890","근혜가",NA,1
"31891","귿이",NA,1
"31892","글겁나썼지",NA,1
"31893","글남겨",NA,1
"31894","글남겼었",NA,1
"31895","글남기고",NA,1
"31896","글남기는",NA,1
"31897","글남긴다",NA,1
"31898","글남김",NA,1
"31899","글남김에",NA,1
"31900","글내역",NA,1
"31901","글달았",NA,1
"31902","글라먹었",NA,1
"31903","글라벌",NA,1
"31904","글러먹엇",NA,1
"31905","글러먹었",NA,1
"31906","글러먹었나",NA,1
"31907","글러먹은",NA,1
"31908","글러브",NA,1
"31909","글럴줄",NA,1
"31910","글럿고",NA,1
"31911","글렀나보",NA,1
"31912","글로벌간",NA,1
"31913","글로벌금융위",NA,1
"31914","글로벌시",NA,1
"31915","글로벌웹서비",NA,1
"31916","글로벌인터넷시대",NA,1
"31917","글로벌제약회사들",NA,1
"31918","글로벌증시",NA,1
"31919","글로벌증시폭락",NA,1
"31920","글로벌지향",NA,1
"31921","글로벌진출",NA,1
"31922","글로벌진출할꺼",NA,1
"31923","글로벌카",NA,1
"31924","글로벌하게놀",NA,1
"31925","글로벌하지",NA,1
"31926","글로벌화",NA,1
"31927","글로비스",NA,1
"31928","글루",NA,1
"31929","글루미선데이",NA,1
"31930","글린거",NA,1
"31931","글만봐",NA,1
"31932","글배이",NA,1
"31933","글삭만되고",NA,1
"31934","글삭제하고",NA,1
"31935","글삭튀",NA,1
"31936","글삭하고",NA,1
"31937","글삭한",NA,1
"31938","글수",NA,1
"31939","글수준",NA,1
"31940","글싸지르니",NA,1
"31941","글싸지를",NA,1
"31942","글써봅니",NA,1
"31943","글써제끼는거",NA,1
"31944","글써줘야되",NA,1
"31945","글썼",NA,1
"31946","글썼구",NA,1
"31947","글썼던사람",NA,1
"31948","글썼습니",NA,1
"31949","글쓰겠",NA,1
"31950","글쓰기해",NA,1
"31951","글쓰는거",NA,1
"31952","글쓰는거보는데",NA,1
"31953","글쓰는것보니",NA,1
"31954","글쓰는사람이아닌",NA,1
"31955","글쓰는이",NA,1
"31956","글쓰지마라",NA,1
"31957","글쓴거",NA,1
"31958","글쓴거보거라",NA,1
"31959","글쓴거보면",NA,1
"31960","글쓴거봐",NA,1
"31961","글쓴사람이",NA,1
"31962","글쓴이분",NA,1
"31963","글쓸시간에",NA,1
"31964","글씨",NA,1
"31965","글안쓰는데",NA,1
"31966","글안쓰는줄",NA,1
"31967","글애도",NA,1
"31968","글올려놓고",NA,1
"31969","글올렸",NA,1
"31970","글올리",NA,1
"31971","글올리면",NA,1
"31972","글올리신분",NA,1
"31973","글올리지마",NA,1
"31974","글올린",NA,1
"31975","글올린사람이",NA,1
"31976","글올린지",NA,1
"31977","글올립니다",NA,1
"31978","글올립시",NA,1
"31979","글을남깁니",NA,1
"31980","글을써도",NA,1
"31981","글을쓰",NA,1
"31982","글을지우고",NA,1
"31983","글이많은거보",NA,1
"31984","글읽",NA,1
"31985","글읽어보니",NA,1
"31986","글자",NA,1
"31987","글잘일어봐",NA,1
"31988","글적고왔는",NA,1
"31989","글적는게",NA,1
"31990","글적엇는",NA,1
"31991","글적었다가",NA,1
"31992","글지",NA,1
"31993","글지워",NA,1
"31994","글처",NA,1
"31995","글처음",NA,1
"31996","글치",NA,1
"31997","글티",NA,1
"31998","글하나에",NA,1
"31999","글확인하세요",NA,1
"32000","긁고잇",NA,1
"32001","긁어갔",NA,1
"32002","긁어담아라했건",NA,1
"32003","긁어먹을려",NA,1
"32004","긁어모으는건",NA,1
"32005","긁어버리",NA,1
"32006","긁지않",NA,1
"32007","긁힌거머",NA,1
"32008","금감원무신줄을",NA,1
"32009","금감원은",NA,1
"32010","금감원이",NA,1
"32011","금감원장아",NA,1
"32012","금감원장이",NA,1
"32013","금감위가",NA,1
"32014","금감위에",NA,1
"32015","금감이있",NA,1
"32016","금과",NA,1
"32017","금기",NA,1
"32018","금김원",NA,1
"32019","금까",NA,1
"32020","금년안",NA,1
"32021","금년중",NA,1
"32022","금단",NA,1
"32023","금단현",NA,1
"32024","금덩이",NA,1
"32025","금등예",NA,1
"32026","금리가싼",NA,1
"32027","금리급등",NA,1
"32028","금리도",NA,1
"32029","금리때문에",NA,1
"32030","금리발",NA,1
"32031","금리발언",NA,1
"32032","금리변동",NA,1
"32033","금리상승",NA,1
"32034","금리오르",NA,1
"32035","금리올렸",NA,1
"32036","금리올린댄",NA,1
"32037","금리올린덴다",NA,1
"32038","금리우",NA,1
"32039","금리우대",NA,1
"32040","금리이벤트",NA,1
"32041","금리인상기",NA,1
"32042","금리인상발",NA,1
"32043","금리인상수혜주사",NA,1
"32044","금리인상시작되",NA,1
"32045","금리인상전",NA,1
"32046","금리인상하곗",NA,1
"32047","금리인상한",NA,1
"32048","금리인상햇",NA,1
"32049","금리탓",NA,1
"32050","금리폭등",NA,1
"32051","금리협",NA,1
"32052","금마",NA,1
"32053","금맥캔",NA,1
"32054","금반지",NA,1
"32055","금방가겠네요",NA,1
"32056","금방갈",NA,1
"32057","금방갈텐",NA,1
"32058","금방깨",NA,1
"32059","금방또",NA,1
"32060","금방오겠",NA,1
"32061","금방올거같",NA,1
"32062","금방올라가버리",NA,1
"32063","금방올라간",NA,1
"32064","금방입니",NA,1
"32065","금방찍",NA,1
"32066","금방회",NA,1
"32067","금방회복하는구",NA,1
"32068","금번",NA,1
"32069","금보",NA,1
"32070","금본위제",NA,1
"32071","금불장",NA,1
"32072","금붕",NA,1
"32073","금붕어",NA,1
"32074","금산",NA,1
"32075","금상첨화",NA,1
"32076","금속대체",NA,1
"32077","금액대",NA,1
"32078","금액만싸보일",NA,1
"32079","금액별",NA,1
"32080","금액오",NA,1
"32081","금액조정후",NA,1
"32082","금액좀",NA,1
"32083","금양",NA,1
"32084","금양말",NA,1
"32085","금요공정은",NA,1
"32086","금요날",NA,1
"32087","금요이날도외국인",NA,1
"32088","금요일개장",NA,1
"32089","금요일까진",NA,1
"32090","금요일밤",NA,1
"32091","금요일부",NA,1
"32092","금요일에팔",NA,1
"32093","금요일오후",NA,1
"32094","금요일은뭐",NA,1
"32095","금요일인대",NA,1
"32096","금요일입니",NA,1
"32097","금요일장만",NA,1
"32098","금요일장인",NA,1
"32099","금요일종",NA,1
"32100","금요일종가",NA,1
"32101","금요일처",NA,1
"32102","금요일치",NA,1
"32103","금요일탈",NA,1
"32104","금요장은",NA,1
"32105","금욜날도",NA,1
"32106","금욜날매수했는",NA,1
"32107","금욜밤",NA,1
"32108","금욜부터",NA,1
"32109","금욜산",NA,1
"32110","금욜오후에사세",NA,1
"32111","금욜이고",NA,1
"32112","금욜이라도",NA,1
"32113","금욜인",NA,1
"32114","금욜인데",NA,1
"32115","금욜인데오르",NA,1
"32116","금욜장",NA,1
"32117","금욜장을",NA,1
"32118","금욜전",NA,1
"32119","금욜종",NA,1
"32120","금욜종가로",NA,1
"32121","금욜종가에사서",NA,1
"32122","금위원장",NA,1
"32123","금융개관들이",NA,1
"32124","금융계",NA,1
"32125","금융관련주",NA,1
"32126","금융광고",NA,1
"32127","금융기관들이",NA,1
"32128","금융기득권들",NA,1
"32129","금융당국자",NA,1
"32130","금융듀오",NA,1
"32131","금융마피아가",NA,1
"32132","금융멸망가들이",NA,1
"32133","금융문",NA,1
"32134","금융보안원",NA,1
"32135","금융복합기업집단",NA,1
"32136","금융상품판매대",NA,1
"32137","금융소비자보호",NA,1
"32138","금융소비자연맹",NA,1
"32139","금융시대",NA,1
"32140","금융실패",NA,1
"32141","금융양아치들이",NA,1
"32142","금융에그치지않는",NA,1
"32143","금융에서빼데기치",NA,1
"32144","금융에있",NA,1
"32145","금융영구사용정",NA,1
"32146","금융오세",NA,1
"32147","금융위원회회장문",NA,1
"32148","금융의노예",NA,1
"32149","금융인",NA,1
"32150","금융자본",NA,1
"32151","금융잘나갔",NA,1
"32152","금융적폐국",NA,1
"32153","금융전문성강화",NA,1
"32154","금융정책",NA,1
"32155","금융조",NA,1
"32156","금융조사해",NA,1
"32157","금융종사",NA,1
"32158","금융종합소득세",NA,1
"32159","금융주가",NA,1
"32160","금융주도",NA,1
"32161","금융주상",NA,1
"32162","금융주수혜",NA,1
"32163","금융주의",NA,1
"32164","금융주의메인플레이어",NA,1
"32165","금융중개업",NA,1
"32166","금융지주사들",NA,1
"32167","금융진출",NA,1
"32168","금융쪽으",NA,1
"32169","금융큰손",NA,1
"32170","금융탐욕월드클라스들이",NA,1
"32171","금융탐욕월드클래스들이",NA,1
"32172","금융특성상",NA,1
"32173","금융플렛폼",NA,1
"32174","금융학정",NA,1
"32175","금융헤게모니",NA,1
"32176","금융회사",NA,1
"32177","금융후진국",NA,1
"32178","금으로이동하라",NA,1
"32179","금의환향",NA,1
"32180","금일기사",NA,1
"32181","금일까지한주라도사신분",NA,1
"32182","금일시초",NA,1
"32183","금일실적발표",NA,1
"32184","금일예",NA,1
"32185","금일장",NA,1
"32186","금일종",NA,1
"32187","금일종가예",NA,1
"32188","금일지수",NA,1
"32189","금주중",NA,1
"32190","금주중으",NA,1
"32191","금지라",NA,1
"32192","금지먹었",NA,1
"32193","금지법안",NA,1
"32194","금지엿어",NA,1
"32195","금지요",NA,1
"32196","금지유지",NA,1
"32197","금지청",NA,1
"32198","금지하는날인데",NA,1
"32199","금지하세",NA,1
"32200","금지해도",NA,1
"32201","금태섭을",NA,1
"32202","금통위",NA,1
"32203","금통위가",NA,1
"32204","금통위원",NA,1
"32205","금투가",NA,1
"32206","금투는",NA,1
"32207","금투는어제매수한거오늘빨리파러유",NA,1
"32208","금투만",NA,1
"32209","금투연",NA,1
"32210","금피아들이",NA,1
"32211","금호석",NA,1
"32212","금호석유동학운동",NA,1
"32213","금호석화",NA,1
"32214","금호와",NA,1
"32215","금효일",NA,1
"32216","급격",NA,1
"32217","급공무원으로",NA,1
"32218","급관심주",NA,1
"32219","급낙",NA,1
"32220","급내리막만있을",NA,1
"32221","급등가능지점",NA,1
"32222","급등가잖아",NA,1
"32223","급등각",NA,1
"32224","급등각이",NA,1
"32225","급등간",NA,1
"32226","급등구",NA,1
"32227","급등구간",NA,1
"32228","급등급",NA,1
"32229","급등기",NA,1
"32230","급등느",NA,1
"32231","급등느낌",NA,1
"32232","급등다",NA,1
"32233","급등다지",NA,1
"32234","급등도안",NA,1
"32235","급등뒤",NA,1
"32236","급등락을",NA,1
"32237","급등마감",NA,1
"32238","급등바라는거",NA,1
"32239","급등보",NA,1
"32240","급등사이",NA,1
"32241","급등시작",NA,1
"32242","급등안",NA,1
"32243","급등안하는거보니",NA,1
"32244","급등안한다",NA,1
"32245","급등언택트대표",NA,1
"32246","급등열",NA,1
"32247","급등열차",NA,1
"32248","급등예상됩니",NA,1
"32249","급등예상종",NA,1
"32250","급등의좋은예",NA,1
"32251","급등이",NA,1
"32252","급등이구",NA,1
"32253","급등이후",NA,1
"32254","급등일보",NA,1
"32255","급등일보전",NA,1
"32256","급등자",NA,1
"32257","급등장세",NA,1
"32258","급등전차",NA,1
"32259","급등조",NA,1
"32260","급등주로",NA,1
"32261","급등주손댓는",NA,1
"32262","급등주의",NA,1
"32263","급등주인",NA,1
"32264","급등준비하는구만",NA,1
"32265","급등중인",NA,1
"32266","급등지",NA,1
"32267","급등직후급락하는종목들",NA,1
"32268","급등키네마스타매쑤",NA,1
"32269","급등팩트",NA,1
"32270","급등하는이유",NA,1
"32271","급등하면사",NA,1
"32272","급등할거",NA,1
"32273","급등합니",NA,1
"32274","급등해도",NA,1
"32275","급등해보",NA,1
"32276","급등했던거까지",NA,1
"32277","급등했습니",NA,1
"32278","급등혔",NA,1
"32279","급등후빽도오랜재봉",NA,1
"32280","급등후즉시급락",NA,1
"32281","급똥",NA,1
"32282","급똥인가",NA,1
"32283","급락나",NA,1
"32284","급락나올거라",NA,1
"32285","급락대",NA,1
"32286","급락들아",NA,1
"32287","급락막아보려",NA,1
"32288","급락보고",NA,1
"32289","급락시",NA,1
"32290","급락시켜서",NA,1
"32291","급락시킵니",NA,1
"32292","급락없",NA,1
"32293","급락예",NA,1
"32294","급락이유",NA,1
"32295","급락조",NA,1
"32296","급락조짐",NA,1
"32297","급락중이",NA,1
"32298","급락차트만아니면좋겠네",NA,1
"32299","급락하겠네",NA,1
"32300","급락하나",NA,1
"32301","급락하네",NA,1
"32302","급락하네요",NA,1
"32303","급락하다",NA,1
"32304","급락하던",NA,1
"32305","급락하면",NA,1
"32306","급락할거",NA,1
"32307","급락할까",NA,1
"32308","급락할수",NA,1
"32309","급락해",NA,1
"32310","급락해도",NA,1
"32311","급락해서",NA,1
"32312","급락햇어",NA,1
"32313","급락했",NA,1
"32314","급락했으",NA,1
"32315","급락했을때",NA,1
"32316","급료",NA,1
"32317","급매물",NA,1
"32318","급물쌀탄",NA,1
"32319","급박",NA,1
"32320","급박한",NA,1
"32321","급반등나왔으",NA,1
"32322","급반등이었",NA,1
"32323","급반등하며",NA,1
"32324","급반등한",NA,1
"32325","급반전했음",NA,1
"32326","급부",NA,1
"32327","급부상",NA,1
"32328","급브레이크",NA,1
"32329","급살맞고다뒤져",NA,1
"32330","급살맞았",NA,1
"32331","급상승중",NA,1
"32332","급상승테",NA,1
"32333","급상승하니깐",NA,1
"32334","급상승하오",NA,1
"32335","급성장세",NA,1
"32336","급성장한거",NA,1
"32337","급소타점",NA,1
"32338","급속",1,1
"32339","급습",NA,1
"32340","급식",NA,1
"32341","급식들이",NA,1
"32342","급식실에소세지주니",NA,1
"32343","급신장",NA,1
"32344","급여안받겠습니",NA,1
"32345","급여통자",NA,1
"32346","급융법",NA,1
"32347","급증한",NA,1
"32348","급증한거",NA,1
"32349","급질문",NA,1
"32350","급쩐이",NA,1
"32351","급추",NA,1
"32352","급출발",NA,1
"32353","급파",NA,1
"32354","급팔다",NA,1
"32355","급팽창",NA,1
"32356","급하게사면안된",NA,1
"32357","급하게살필요없",NA,1
"32358","급하락을",NA,1
"32359","급하방은",NA,1
"32360","급하시",NA,1
"32361","급한가부",NA,1
"32362","급한건",NA,1
"32363","급한사람들은",NA,1
"32364","급할게",NA,1
"32365","급할게없어요",NA,1
"32366","급할꺼",NA,1
"32367","급했",NA,1
"32368","급행",NA,1
"32369","급행열",NA,1
"32370","급희",NA,1
"32371","긋이",NA,1
"32372","긍까",NA,1
"32373","긍융대전",NA,1
"32374","긍정글",NA,1
"32375","긍정요소",NA,1
"32376","긍정의핵심워드는실행",NA,1
"32377","긍정적으",NA,1
"32378","긍정적인분들많네",NA,1
"32379","긍정적효",NA,1
"32380","긍정회로",NA,1
"32381","긍지",2,1
"32382","긔여워서",NA,1
"32383","기가레인",NA,1
"32384","기가막네",NA,1
"32385","기가막혀서",NA,1
"32386","기가막히는",NA,1
"32387","기가막힌다",NA,1
"32388","기가맥히네",NA,1
"32389","기가맥힌",NA,1
"32390","기가상하이공장",NA,1
"32391","기가차",NA,1
"32392","기가차서",NA,1
"32393","기가차지도",NA,1
"32394","기가펙토리",NA,1
"32395","기각된거",NA,1
"32396","기간별",NA,1
"32397","기간산업",NA,1
"32398","기간설",NA,1
"32399","기간설정",NA,1
"32400","기간외인",NA,1
"32401","기간이로",NA,1
"32402","기간이있었",NA,1
"32403","기간입니",NA,1
"32404","기간제한",NA,1
"32405","기간조",NA,1
"32406","기간조정과",NA,1
"32407","기간조정들어간",NA,1
"32408","기간조정중인",NA,1
"32409","기간조정후",NA,1
"32410","기간중",NA,1
"32411","기간합",NA,1
"32412","기간횡보다음엔",NA,1
"32413","기같은회",NA,1
"32414","기격방어",NA,1
"32415","기고만장",NA,1
"32416","기고만장다",NA,1
"32417","기과",NA,1
"32418","기과들",NA,1
"32419","기관가외국인의싸움인",NA,1
"32420","기관계",NA,1
"32421","기관계속해서손절매매",NA,1
"32422","기관계속해서손절매매다",NA,1
"32423","기관과외인이같이빠질거같아서무섭",NA,1
"32424","기관나부랭",NA,1
"32425","기관나팔수들이",NA,1
"32426","기관눌러",NA,1
"32427","기관님덜",NA,1
"32428","기관다",NA,1
"32429","기관다나갓는데",NA,1
"32430","기관다몽창털",NA,1
"32431","기관다팔고",NA,1
"32432","기관단타극혐이",NA,1
"32433","기관단타꾼만설치",NA,1
"32434","기관단타질보",NA,1
"32435","기관던지",NA,1
"32436","기관던지고",NA,1
"32437","기관도무시할수없",NA,1
"32438","기관동",NA,1
"32439","기관둥",NA,1
"32440","기관들놀이터",NA,1
"32441","기관들먹거리",NA,1
"32442","기관들부터먼저차익실현하며",NA,1
"32443","기관들애용거래원",NA,1
"32444","기관들어",NA,1
"32445","기관들어오",NA,1
"32446","기관들어오더니",NA,1
"32447","기관들어온",NA,1
"32448","기관들어온거",NA,1
"32449","기관들어옵니",NA,1
"32450","기관들어왔",NA,1
"32451","기관들우루루매수하는데",NA,1
"32452","기관들입",NA,1
"32453","기관들장난",NA,1
"32454","기관들지꾀에당햇",NA,1
"32455","기관등",NA,1
"32456","기관등등다팔았는",NA,1
"32457","기관때",NA,1
"32458","기관똥줄탄",NA,1
"32459","기관마",NA,1
"32460","기관만들어와",NA,1
"32461","기관매도는계속상승같네",NA,1
"32462","기관매도보고",NA,1
"32463","기관매수들어왔",NA,1
"32464","기관매수시",NA,1
"32465","기관매수에상",NA,1
"32466","기관머저리",NA,1
"32467","기관물",NA,1
"32468","기관반대",NA,1
"32469","기관방어",NA,1
"32470","기관버리는거",NA,1
"32471","기관벽세우고",NA,1
"32472","기관별",NA,1
"32473","기관분",NA,1
"32474","기관빼",NA,1
"32475","기관사들",NA,1
"32476","기관사들이는거",NA,1
"32477","기관사모으는",NA,1
"32478","기관살",NA,1
"32479","기관새",NA,1
"32480","기관새기들실적이미다알고있었을덴",NA,1
"32481","기관새기들아",NA,1
"32482","기관새끼들이",NA,1
"32483","기관선물옵션때문에",NA,1
"32484","기관세리",NA,1
"32485","기관쉐리",NA,1
"32486","기관시끼",NA,1
"32487","기관시키",NA,1
"32488","기관시키들은안",NA,1
"32489","기관쒜이들",NA,1
"32490","기관아",NA,1
"32491","기관양아",NA,1
"32492","기관양아치",NA,1
"32493","기관엉아들",NA,1
"32494","기관연",NA,1
"32495","기관연기금외국인",NA,1
"32496","기관예심",NA,1
"32497","기관예측",NA,1
"32498","기관외국인",NA,1
"32499","기관외국인집중매도",NA,1
"32500","기관외궈",NA,1
"32501","기관외신",NA,1
"32502","기관외인계속지분줄",NA,1
"32503","기관외인님",NA,1
"32504","기관외인던져",NA,1
"32505","기관외인왜네이버만사",NA,1
"32506","기관외인이팔고흐르",NA,1
"32507","기관외인쥐똥만큼사",NA,1
"32508","기관외인파는거",NA,1
"32509","기관월요일",NA,1
"32510","기관은더쳐내려",NA,1
"32511","기관은매",NA,1
"32512","기관은뭘보고주식을살까",NA,1
"32513","기관은진",NA,1
"32514","기관은팔고",NA,1
"32515","기관의생",NA,1
"32516","기관의역",NA,1
"32517","기관이나외인이",NA,1
"32518","기관이돌아섰",NA,1
"32519","기관이들어오는",NA,1
"32520","기관이랑다파라재꼇는",NA,1
"32521","기관이매수했네",NA,1
"32522","기관이사면뮈",NA,1
"32523","기관이산",NA,1
"32524","기관이산건",NA,1
"32525","기관이샀",NA,1
"32526","기관이아",NA,1
"32527","기관이었",NA,1
"32528","기관이정말",NA,1
"32529","기관이주로팔아요",NA,1
"32530","기관이팔고",NA,1
"32531","기관이패대기친물량",NA,1
"32532","기관이후장",NA,1
"32533","기관입니",NA,1
"32534","기관입장",NA,1
"32535","기관장",NA,1
"32536","기관장들",NA,1
"32537","기관종합",NA,1
"32538","기관주식",NA,1
"32539","기관줄기차",NA,1
"32540","기관중",NA,1
"32541","기관진",NA,1
"32542","기관진입허용",NA,1
"32543","기관쫄랐",NA,1
"32544","기관쫄보",NA,1
"32545","기관차",NA,1
"32546","기관책임",NA,1
"32547","기관처파",NA,1
"32548","기관청",NA,1
"32549","기관청약금",NA,1
"32550","기관탈출러",NA,1
"32551","기관투자자",NA,1
"32552","기관파",NA,1
"32553","기관파는거봐",NA,1
"32554","기관팔고",NA,1
"32555","기관팔고외인팔고악재기사에조정받는",NA,1
"32556","기관팔려",NA,1
"32557","기관팔아제낍니",NA,1
"32558","기관포함",NA,1
"32559","기관풀매수인",NA,1
"32560","기관하라는거",NA,1
"32561","기관한",NA,1
"32562","기관한태",NA,1
"32563","기관호구들",NA,1
"32564","기광외인",NA,1
"32565","기괴한",NA,1
"32566","기괸을",NA,1
"32567","기금들",NA,1
"32568","기껐",NA,1
"32569","기나온",NA,1
"32570","기내방",NA,1
"32571","기냥놔",NA,1
"32572","기냥버텨",NA,1
"32573","기네스",NA,1
"32574","기네스북",NA,1
"32575","기네스적기록보유자",NA,1
"32576","기념사진촬영",NA,1
"32577","기념일",NA,1
"32578","기는구",NA,1
"32579","기능상실에가까운",NA,1
"32580","기다녔",NA,1
"32581","기다랗다",NA,1
"32582","기다려바",NA,1
"32583","기다려보시",NA,1
"32584","기다려볼까싶은",NA,1
"32585","기다려볼테",NA,1
"32586","기다려봐아",NA,1
"32587","기다려야겄",NA,1
"32588","기다려야복이온대",NA,1
"32589","기다려주십시",NA,1
"32590","기다려지",NA,1
"32591","기다렷",NA,1
"32592","기다료",NA,1
"32593","기다리겠",NA,1
"32594","기다리고잇",NA,1
"32595","기다리고잇엇는",NA,1
"32596","기다리고있",NA,1
"32597","기다리고있었",NA,1
"32598","기다리구있",NA,1
