Date,Open,High,Low,Close,Adj Close,Volume
2021-08-03,146000,146500,143000,144000,143932.7656,2697098
2021-08-04,144500,150000,144000,149500,149430.1875,3136752
2021-08-05,150000,151500,148500,149000,148930.4219,2254087
2021-08-06,149500,149500,145000,145500,145432.0625,4155669
2021-08-09,145500,149000,144000,148000,147930.8906,3017396
2021-08-10,148000,148500,144500,146500,146431.5938,2074409
2021-08-11,145500,147500,144000,144000,143932.7656,1754472
2021-08-12,146000,148000,144000,147500,147431.125,2950088
2021-08-13,147500,147500,144500,146000,145931.8281,2285992
2021-08-17,146000,147500,141000,142000,141933.6875,3322347
2021-08-18,142000,146500,141500,145500,145432.0625,2720552
2021-08-19,144000,149000,144000,146500,146431.5938,2813914
2021-08-20,146500,149000,143000,144000,143932.7656,2776813
2021-08-23,146000,148500,144500,148500,148430.6563,2678395
2021-08-24,150000,150500,148000,149000,148930.4219,2032632
2021-08-25,149000,153500,148500,151000,150929.4844,2900928
2021-08-26,151500,152500,147500,149500,149430.1875,2360164
2021-08-27,149000,150000,147000,150000,149929.9531,1430634
2021-08-30,152000,153000,150500,151500,151429.2656,1628144
2021-08-31,152500,155000,151000,155000,154927.625,3078357
2021-09-01,155000,156000,154000,154000,153928.0938,2011434
2021-09-02,154500,156000,153500,155000,154927.625,1649156
2021-09-03,155500,157500,154500,156500,156426.9219,1934669
2021-09-06,156000,156500,152500,155500,155427.3906,1883428
2021-09-07,155500,156000,153500,154000,153928.0938,1072249
2021-09-08,151500,151500,136500,138500,138435.3281,16920382
2021-09-09,134000,134500,128000,128500,128440,14534253
2021-09-10,127000,133500,126000,130000,129939.2969,9918050
2021-09-13,126500,130000,122500,124500,124441.8672,8675498
2021-09-14,122500,126000,118000,124000,123942.1016,18895148
2021-09-15,123500,127500,122000,122500,122442.7969,9078817
2021-09-16,123000,125000,121000,121500,121443.2656,4770936
2021-09-17,121500,121500,118000,119500,119444.2031,4807631
2021-09-23,116500,118000,114000,115000,114946.3047,6314773
2021-09-24,116000,121000,116000,119500,119444.2031,5327603
2021-09-27,120000,122500,119500,120000,119943.9688,3635942
2021-09-28,120500,121500,117500,117500,117445.1328,3445583
2021-09-29,115000,117500,114500,116500,116445.6016,3172350
2021-09-30,115000,120500,114500,118000,117944.8984,4649917
2021-10-01,118000,120000,116000,116500,116445.6016,2329103
2021-10-05,114500,116000,110500,111000,110948.1719,4885065
2021-10-06,112500,116000,112000,113000,112947.2344,4610915
