일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,상장시가총액
2022-04-27,2639.06,-29.25,-1.1,2630.58,2641.82,2615.5,1072367,1.26E+07,2.07E+09
2022-04-26,2668.31,11.18,0.42,2674,2678.05,2663.83,889942,1.08E+07,2.09E+09
2022-04-25,2657.13,-47.58,-1.76,2676.67,2680.35,2657.04,1018005,1.17E+07,2.09E+09
2022-04-22,2704.71,-23.5,-0.86,2704.72,2708.58,2690.48,1239910,1.21E+07,2.12E+09
2022-04-21,2728.21,9.52,0.35,2725.71,2737.54,2725.04,1002973,1.15E+07,2.14E+09
2022-04-20,2718.69,-0.2,-0.01,2718.49,2724.46,2702.84,1736283,1.23E+07,2.13E+09
2022-04-19,2718.89,25.68,0.95,2707.76,2723.98,2705.32,1257385,9779975,2.13E+09
2022-04-18,2693.21,-2.85,-0.11,2685.04,2701.11,2681.37,1024915,9050332,2.11E+09
2022-04-15,2696.06,-20.65,-0.76,2695.52,2705.41,2685.01,693718,9570268,2.11E+09
2022-04-14,2716.71,0.22,0.01,2719.34,2720.3,2702.61,665351,1.14E+07,2.13E+09
2022-04-13,2716.49,49.73,1.86,2677.53,2717.63,2672.6,733241,9645446,2.13E+09
2022-04-12,2666.76,-26.34,-0.98,2674.17,2685.08,2658.4,870970,9853720,2.09E+09
2022-04-11,2693.1,-7.29,-0.27,2687.54,2711.02,2683.96,742602,8831630,2.11E+09
2022-04-08,2700.39,4.53,0.17,2706.64,2712,2685.52,948355,1.03E+07,2.12E+09
2022-04-07,2695.86,-39.17,-1.43,2714.7,2718.5,2693.36,999276,1.23E+07,2.12E+09
2022-04-06,2735.03,-24.17,-0.88,2739.07,2747.85,2730.66,1321645,1.10E+07,2.15E+09
2022-04-05,2759.2,1.3,0.05,2765.5,2769.18,2750.5,1605994,9933181,2.17E+09
2022-04-04,2757.9,18.05,0.66,2729.86,2758.38,2722.45,1022971,9744918,2.16E+09
2022-04-01,2739.85,-17.8,-0.65,2745.85,2745.85,2729.68,1305564,1.07E+07,2.15E+09
2022-03-31,2757.65,10.91,0.4,2743.24,2765.2,2743.2,1030289,9729367,2.16E+09
2022-03-30,2746.74,5.67,0.21,2758.31,2760.6,2740.02,840134,1.11E+07,2.16E+09
2022-03-29,2741.07,11.51,0.42,2745.62,2754.18,2733.22,732159,1.00E+07,2.15E+09
2022-03-28,2729.56,-0.42,-0.02,2721.22,2737.46,2707.74,768043,9801744,2.14E+09
2022-03-25,2729.98,0.32,0.01,2740.83,2740.95,2722.36,602771,1.08E+07,2.14E+09
2022-03-24,2729.66,-5.39,-0.2,2716.25,2729.66,2705.14,960898,1.32E+07,2.14E+09
2022-03-23,2735.05,25.05,0.92,2727.12,2742.27,2720.83,883376,1.18E+07,2.15E+09
2022-03-22,2710,23.95,0.89,2686.68,2712.14,2686.58,489442,9367506,2.13E+09
2022-03-21,2686.05,-20.97,-0.77,2717.81,2717.81,2683.69,502402,8693850,2.11E+09
2022-03-18,2707.02,12.51,0.46,2695.64,2708.16,2688.71,644017,1.14E+07,2.13E+09
2022-03-17,2694.51,35.28,1.33,2703.27,2714,2694.51,546079,1.19E+07,2.12E+09
2022-03-16,2659.23,37.7,1.44,2649.85,2659.9,2630.03,736354,9310851,2.09E+09
2022-03-15,2621.53,-24.12,-0.91,2630.31,2641.97,2615.08,604182,9583002,2.06E+09
2022-03-14,2645.65,-15.63,-0.59,2654.93,2661.76,2633.31,636324,1.20E+07,2.08E+09
2022-03-11,2661.28,-19.04,-0.71,2665.95,2672.62,2647.28,797034,1.24E+07,2.09E+09
2022-03-10,2680.32,57.92,2.21,2660.86,2682.79,2660.86,613810,1.37E+07,2.11E+09
2022-03-08,2622.4,-28.91,-1.09,2617.33,2647.18,2605.81,540370,1.17E+07,2.06E+09
2022-03-07,2651.31,-62.12,-2.29,2680.17,2680.17,2644.1,571562,1.21E+07,2.08E+09
2022-03-04,2713.43,-33.65,-1.22,2736.58,2736.58,2702.34,765676,1.24E+07,2.13E+09
2022-03-03,2747.08,43.56,1.61,2729.86,2748.21,2726.35,614515,1.06E+07,2.16E+09
2022-03-02,2703.52,4.34,0.16,2698.31,2716.46,2692.24,527950,1.10E+07,2.12E+09
2022-02-28,2699.18,22.42,0.84,2663,2699.18,2658.25,613470,1.29E+07,2.12E+09
2022-02-25,2676.76,27.96,1.06,2678.47,2694.81,2665.96,664347,1.22E+07,2.10E+09
2022-02-24,2648.8,-70.73,-2.6,2689.28,2694.55,2642.63,926400,1.36E+07,2.08E+09
2022-02-23,2719.53,12.74,0.47,2727.43,2729.56,2705.31,537841,9138534,2.14E+09
2022-02-22,2706.79,-37.01,-1.35,2705.08,2721.84,2690.09,648401,1.06E+07,2.13E+09
2022-02-21,2743.8,-0.72,-0.03,2706.65,2746.62,2694.9,495301,7896734,2.16E+09
2022-02-18,2744.52,0.43,0.02,2714.52,2747.08,2711.88,513521,8508342,2.16E+09
