Date,Open,High,Low,Close,Adj Close,Volume
2020-07-01,54300.000000,55000.000000,53500.000000,53900.000000,53853.167969,2890115
2020-07-02,54700.000000,57100.000000,54600.000000,57100.000000,57050.382813,6892725
2020-07-03,57900.000000,59400.000000,56800.000000,58800.000000,58748.906250,8022465
2020-07-06,59600.000000,61500.000000,59400.000000,60100.000000,60047.781250,6724255
2020-07-07,61300.000000,63600.000000,60800.000000,62100.000000,62046.042969,7764100
2020-07-08,62400.000000,65600.000000,61000.000000,65600.000000,65543.000000,9348315
2020-07-09,67000.000000,71100.000000,66400.000000,71100.000000,71038.218750,12317515
2020-07-10,70200.000000,73600.000000,69100.000000,71100.000000,71038.218750,12834675
2020-07-13,71800.000000,72200.000000,69000.000000,70400.000000,70338.828125,6958720
2020-07-14,68100.000000,69300.000000,68000.000000,68600.000000,68540.390625,6062595
2020-07-15,68800.000000,69900.000000,66400.000000,67500.000000,67441.351563,7437085
2020-07-16,66400.000000,67100.000000,63800.000000,64400.000000,64344.042969,9707540
2020-07-17,63800.000000,65400.000000,62800.000000,65000.000000,64943.519531,6342935
2020-07-20,65000.000000,65000.000000,62000.000000,62000.000000,61946.128906,7672110
2020-07-21,64700.000000,65200.000000,62300.000000,63200.000000,63145.085938,8383150
2020-07-22,62100.000000,64300.000000,61200.000000,63600.000000,63544.734375,5796490
2020-07-23,63300.000000,65900.000000,63000.000000,65900.000000,65842.734375,6302175
2020-07-24,65000.000000,66600.000000,64400.000000,64900.000000,64843.609375,4538215
2020-07-27,64200.000000,65900.000000,64100.000000,65300.000000,65243.257813,3016610
2020-07-28,66400.000000,67200.000000,65700.000000,65900.000000,65842.734375,4365315
2020-07-29,65800.000000,66600.000000,65000.000000,66300.000000,66242.390625,3092175
2020-07-30,67200.000000,67400.000000,66300.000000,66400.000000,66342.304688,3079360
2020-07-31,67200.000000,68800.000000,67100.000000,68700.000000,68640.304688,5394185
2020-08-03,69500.000000,73200.000000,69400.000000,73200.000000,73136.398438,8184015
2020-08-04,75700.000000,76800.000000,72200.000000,74000.000000,73935.703125,8573210
2020-08-05,73200.000000,74200.000000,72500.000000,74100.000000,74035.609375,5379395
2020-08-06,71700.000000,74500.000000,71500.000000,72800.000000,72736.742188,9244490
2020-08-07,73600.000000,74000.000000,70100.000000,70600.000000,70538.656250,9495555
